RPM,EvaporatorTemperature_C,CoolingCapacity_kW,InputPower_kW,Current_A,COP_WW,EvidenceStatus
2000,-23,0.35,0.31,0.98,1.08,Sample map point at 312 V R134a; replace with selected component data
2000,-12,0.57,0.43,1.38,1.24,Sample map point at 312 V R134a; replace with selected component data
2000,-7,0.71,0.48,1.55,1.37,Sample map point at 312 V R134a; replace with selected component data
2000,-1,0.91,0.52,1.66,1.64,Sample map point at 312 V R134a; replace with selected component data
2000,4,1.10,0.53,1.71,1.94,Sample map point at 312 V R134a; replace with selected component data
2000,7,1.24,0.54,1.73,2.16,Sample map point at 312 V R134a; replace with selected component data
2000,13,1.50,0.56,1.79,2.51,Sample map point at 312 V R134a; replace with selected component data
3000,-23,0.54,0.44,1.41,1.23,Sample map point at 312 V R134a; replace with selected component data
3000,-12,0.88,0.62,1.98,1.42,Sample map point at 312 V R134a; replace with selected component data
3000,-7,1.09,0.69,2.22,1.57,Sample map point at 312 V R134a; replace with selected component data
3000,-1,1.39,0.74,2.38,1.88,Sample map point at 312 V R134a; replace with selected component data
3000,4,1.69,0.77,2.45,2.21,Sample map point at 312 V R134a; replace with selected component data
3000,7,1.90,0.77,2.48,2.46,Sample map point at 312 V R134a; replace with selected component data
3000,13,2.30,0.80,2.56,2.87,Sample map point at 312 V R134a; replace with selected component data
4000,-23,0.75,0.57,1.83,1.30,Sample map point at 312 V R134a; replace with selected component data
4000,-12,1.21,0.81,2.59,1.50,Sample map point at 312 V R134a; replace with selected component data
4000,-7,1.50,0.90,2.90,1.68,Sample map point at 312 V R134a; replace with selected component data
4000,-1,1.92,0.97,3.11,1.98,Sample map point at 312 V R134a; replace with selected component data
4000,4,2.34,1.00,3.20,2.34,Sample map point at 312 V R134a; replace with selected component data
4000,7,2.63,1.01,3.24,2.60,Sample map point at 312 V R134a; replace with selected component data
4000,13,3.18,1.05,3.36,3.03,Sample map point at 312 V R134a; replace with selected component data
5000,-23,0.95,0.72,2.29,1.33,Sample map point at 312 V R134a; replace with selected component data
5000,-12,1.55,1.01,3.24,1.54,Sample map point at 312 V R134a; replace with selected component data
5000,-7,1.92,1.13,3.62,1.70,Sample map point at 312 V R134a; replace with selected component data
5000,-1,2.46,1.21,3.88,2.03,Sample map point at 312 V R134a; replace with selected component data
5000,4,2.99,1.25,4.00,2.39,Sample map point at 312 V R134a; replace with selected component data
5000,7,3.37,1.26,4.05,2.66,Sample map point at 312 V R134a; replace with selected component data
5000,13,4.07,1.31,4.20,3.10,Sample map point at 312 V R134a; replace with selected component data
6000,-23,1.16,0.86,2.75,1.35,Sample map point at 312 V R134a; replace with selected component data
6000,-12,1.88,1.21,3.89,1.55,Sample map point at 312 V R134a; replace with selected component data
6000,-7,2.33,1.36,4.35,1.72,Sample map point at 312 V R134a; replace with selected component data
6000,-1,2.99,1.45,4.66,2.05,Sample map point at 312 V R134a; replace with selected component data
6000,4,3.63,1.50,4.80,2.42,Sample map point at 312 V R134a; replace with selected component data
6000,7,4.08,1.52,4.86,2.69,Sample map point at 312 V R134a; replace with selected component data
6000,13,4.94,1.57,5.04,3.14,Sample map point at 312 V R134a; replace with selected component data
