Speed_rpm,Torque_Nm,IntegratedEfficiency_pct
0,0,50
0,25,50
0,50,50
0,100,50
0,150,50
0,200,50
0,250,50
0,280,50
500,0,50
500,25,62
500,50,68
500,100,70
500,150,68
500,200,65
500,250,62
500,280,60
1000,0,50
1000,25,75
1000,50,80
1000,100,82
1000,150,80
1000,200,78
1000,250,75
1000,280,72
2000,0,50
2000,25,86
2000,50,89
2000,100,89
2000,150,88
2000,200,86
2000,250,84
2000,280,82
3000,0,50
3000,25,90
3000,50,91
3000,100,92
3000,150,91
3000,200,90
3000,250,88
3000,280,86
4000,0,50
4000,25,92
4000,50,93
4000,100,93.6
4000,150,93.6
4000,200,92
4000,250,90
4000,280,88
6000,0,50
6000,25,94.4
6000,50,95.2
6000,100,94.4
6000,150,93.6
6000,200,92
6000,250,90
6000,280,87
8000,0,50
8000,25,92
8000,50,94.4
8000,100,93.6
8000,150,92
8000,200,90
8000,250,86
8000,280,82
10000,0,50
10000,25,88
10000,50,92.8
10000,100,92
10000,150,89
10000,200,85
10000,250,80
10000,280,75
12000,0,50
12000,25,86
12000,50,90
12000,100,89
12000,150,85
12000,200,80
12000,250,74
12000,280,70
